id,comet_polluted_text_en,bleurt_polluted_text_en,comet_polluted_text_en_rag,bleurt_polluted_text_en_rag
5a711e0b-314a-498f-8c11-798d9ba8b5c4,0.8656566739082336,0.3892720639705658,0.8498474955558777,0.4054321050643921
139add3c-d508-4813-832a-eec9524ce3d3,0.8238967061042786,0.48578161001205444,0.8200051188468933,0.5073533058166504
22d93cba-1d55-4385-8164-a8370f616e34,0.8395943641662598,0.415938138961792,0.8414082527160645,0.3023197054862976
ae4a18f6-b8fb-4f77-9e1e-e865054862db,0.8601388931274414,0.40588057041168213,0.8612026572227478,0.4336950182914734
8159cc0f-f223-4291-b6e3-dc3ec7737d8d,0.8600935339927673,0.342964231967926,0.8567144274711609,0.4116051197052002
b2f7abad-4370-4de4-b7f2-7a03b8d7166b,0.8852802515029907,0.5043524503707886,0.8858709931373596,0.5283957719802856
8244db38-d9e9-4952-8683-aac31c5528c5,0.8839350342750549,0.6257629990577698,0.8839350342750549,0.6257629990577698
5289e5d5-0c03-4f9a-8578-1542e3699276,0.8454453945159912,0.3720748722553253,0.8633264303207397,0.49263089895248413
d3a2cfbc-ec07-4a6b-884c-028890d4434c,0.802057683467865,-0.02487492933869362,0.8395004868507385,0.3902479112148285
6036348c-ab14-4e23-ad17-ab9a40047f63,0.8947991728782654,0.5341421961784363,0.8765808343887329,0.49447101354599
4dbe0cac-ee36-43ff-8275-142719b7a9eb,0.8456100821495056,0.14392858743667603,0.8487284779548645,0.2189074456691742
cad1c89b-d886-4234-a8aa-c9e49d9fb344,0.8662858009338379,0.5019077658653259,0.8283771872520447,0.4808186888694763
efb54459-1313-4e46-8266-cd6de68bff04,0.8173202872276306,0.4340881407260895,0.8254463076591492,0.35746559500694275
699c9bb1-bb27-4cd4-a07f-d96d4bd1f131,0.8613936305046082,0.5153700709342957,0.8732543587684631,0.6110206842422485
5f175adb-2176-4de3-b7df-dc8c824a386d,0.8391551971435547,0.4400741159915924,0.8436083197593689,0.4951421022415161
a35edf53-78ec-40b1-8f39-beb8fc347905,0.8700352311134338,0.47902101278305054,0.8698793649673462,0.4245724380016327
a70dbf8b-d629-4b78-952c-c333e1fc5ae8,0.8676314353942871,0.5659162998199463,0.8593863248825073,0.10846631228923798
38779272-b470-4fdc-ba3d-0ebf8ae9578e,0.8584036231040955,0.3999025523662567,0.8458937406539917,0.43526363372802734
1d04aea1-ee88-4466-9ec9-13cdf945e7ed,0.8069525361061096,0.13492655754089355,0.8404600024223328,0.5261974334716797
677443e4-6d29-4125-8c92-822c521cfe9a,0.8574358224868774,0.5208678841590881,0.8423988819122314,0.3749814033508301
c2cbc598-7025-4b73-8c45-b5b40317d792,0.8541669249534607,0.153334841132164,0.8726421594619751,0.2736155688762665
8ec5b9b0-6c54-4ee3-97be-24bebb6c7f23,0.8807113170623779,0.6283795237541199,0.8691646456718445,0.6377350687980652
e3f8170c-9893-4d3d-a23d-9848e1c36423,0.8339018225669861,0.3355855345726013,0.8445970416069031,0.4441838264465332
7864d9c2-ee11-4055-a564-fd1b26a8139c,0.8463039994239807,0.32711607217788696,0.8445178270339966,0.28186312317848206
1cbe20e9-6d21-4b05-b97f-1b7595e34204,0.8760747313499451,0.4577208459377289,0.8672810196876526,0.49450141191482544
18fb3a3b-a143-494d-ae2c-4061c94500e0,0.8748081922531128,0.5689435601234436,0.8551128506660461,0.5022075176239014
1fa03f60-1346-46a9-b1cf-9868923b1283,0.8664188981056213,0.4739730954170227,0.8685727715492249,0.46695712208747864
0ce9d5ef-1d03-4afb-bff1-71f405b90f2b,0.8445296883583069,0.3405511975288391,0.8399414420127869,0.39221131801605225
4b5baff8-5d7d-4828-9291-f5b6cac93046,0.8881711363792419,0.5947133898735046,0.8631908893585205,0.5631794929504395
b1aee6fa-778b-421d-8fac-d2f758f8f80f,0.8571678996086121,0.5913482904434204,0.857539713382721,0.5952755808830261
099b30b3-b4d3-42f1-995c-39838bdf99e0,0.845858633518219,0.4303402006626129,0.8507063984870911,0.4985904097557068
73269d99-0cf4-4cb8-a5c8-d8a4b58adb38,0.8390793204307556,0.42966121435165405,0.8300884962081909,0.42954221367836
4f85b192-05e8-4b59-9679-aef7e7c63a44,0.8662477135658264,0.4579480290412903,0.8677019476890564,0.4681909680366516
be7af5db-c6d4-49fd-9514-8f085c1398ef,0.8794676661491394,0.5040077567100525,0.882448136806488,0.5353699922561646
2b91e5b1-6986-4806-af99-5d0dd652d715,0.8901764750480652,0.6241307258605957,0.892156183719635,0.627742350101471
5cd0576e-c26e-4d3d-981a-fe2c31943da0,0.862910807132721,0.6365150213241577,0.8655447363853455,0.7036903500556946
2419d2e0-b0a2-4a9c-8c20-8d0bf87c2cdd,0.8657311797142029,0.4936586022377014,0.8677085041999817,0.5152404308319092
1dfb90bf-95ca-4ad0-92d1-49fc37935133,0.876868486404419,0.44782429933547974,0.9024724364280701,0.6146516799926758
f3d20a91-d37d-4319-b879-90e18289eb36,0.8307877779006958,0.3624017834663391,0.8578222990036011,0.3746967911720276
cac088ee-e7dd-4ea4-a283-072fd5f8f66d,0.851388156414032,0.2326204478740692,0.8540188670158386,0.24362638592720032
90235be4-1639-4195-aa6c-a4925b1d8bb6,0.8242740035057068,0.3235301375389099,0.829926609992981,0.4243641197681427
8166b85c-b917-40d0-9deb-124163e400b4,0.8511260151863098,0.514613151550293,0.8594721555709839,0.5423704981803894
f4f6dfa8-81b3-4bbc-84fc-6bf4dafc1f70,0.8410313725471497,0.43364807963371277,0.8476809859275818,0.4463132619857788
9d0e48f3-0d83-4195-9b5f-539a1262fecb,0.8708856701850891,0.4228288531303406,0.8757687211036682,0.43582582473754883
6134a967-a9e1-430e-b57a-23e0a0b0e596,0.8361493945121765,0.32575151324272156,0.8366435170173645,0.31565195322036743
7f86004c-c061-4cd6-b4cf-7a27b5b37561,0.8491265177726746,0.38589417934417725,0.8449887633323669,0.5007739067077637
f48da866-e931-4e34-9dcd-4cb56294efe4,0.8760056495666504,0.6009067893028259,0.8825575113296509,0.5662810206413269
1d8b4093-f137-440a-9254-9368b023aeae,0.8403308391571045,0.38669243454933167,0.8730207681655884,0.6015651226043701
ed96d5d7-2aa2-428e-b7a8-cf29b7765b7c,0.8224969506263733,0.20778554677963257,0.7629030346870422,-0.25517696142196655
e6e45ff2-9687-43d6-b6c5-242a5d2b53fe,0.7523751854896545,0.325212299823761,0.783122718334198,0.49070990085601807
d22f19a9-07e6-4107-9203-74193ffac40a,0.8796220421791077,0.5906633138656616,0.8756402134895325,0.6203756332397461
a8e23cb9-880d-4e3f-a659-ef4b119c4ef3,0.8309338688850403,0.02875947579741478,0.8438277840614319,0.02462771162390709
12e64eb3-b060-4c6e-b597-9324db063fad,0.8627727627754211,0.554166853427887,0.8623328804969788,0.5091044306755066
74fc9686-76a6-444d-bddd-595425c25525,0.862862229347229,0.5053554177284241,0.8569420576095581,0.4993699789047241
1e887329-34de-48c1-97b7-dd2a278cdbb5,0.7710111737251282,0.10564534366130829,0.770480215549469,-0.06033701077103615
9f871185-38d7-45ad-a42c-a4542ea13599,0.8631671667098999,0.506607174873352,0.8730430006980896,0.6152055859565735
57824c97-5fd1-4dfc-9667-73c8d9b28413,0.8327285647392273,0.3970714509487152,0.8437985777854919,0.4477902948856354
fdc75e62-2cd3-4812-875b-24d6b6be1fe9,0.8576382994651794,0.5522531270980835,0.8578522801399231,0.5074949264526367
9f0e823d-ab2c-4b89-88e1-43cc29b042ba,0.8426615595817566,0.4244191646575928,0.8681995272636414,0.458896279335022
